SND_studie	SND_dataset	SND_version	Utterance ID No	Utterance	Stance category	second stance category	third	fourth	fifth	Utterance word length			
1037	1	1.0	17	That's not necessarily the case - for example, in the 2008 London mayoral election, YouGov's internet polls comprehensively got the better of Ipsos-Mori's telephone polls.	agreement/disagreement					25			
1037	1	1.0	18	And I very much doubt they are willing to center the Holyrood election on the issue.	agreement/disagreement	uncertainty				16			
1037	1	1.0	19	Well, basically I'm saying no to what you said in your previous comment and in your new one - I just don't agree with you.	agreement/disagreement					25			
1037	1	1.0	20	In principle I agree with what he is striving for, but the in practice it is not so simple.	agreement/disagreement	contrariety				19			
1037	1	1.0	21	Yes, we want worker protection, but we don't need to go over the top as the EU does.	agreement/disagreement	contrariety	necessity	volition		18			
1037	1	1.0	22	Yep..its all part of the long line of threats to us.	agreement/disagreement					11			
1037	1	1.0	23	However, I still remain flummoxed as to why expats get to vote, it is no longer their concern or future.	agreement/disagreement					20			
1037	1	1.0	24	Granted some will make rash decisions on this matter but this could be made statistically negligible.	agreement/disagreement	contrariety	prediction			16			
1037	1	1.0	25	Sadly, that is wrong.	agreement/disagreement					4			
1037	1	1.0	26	It does not take into effect the benefits of Scotland having its on voice in the world, attracting investment, business and people.	agreement/disagreement					22			
1037	1	1.0	27	I would argue differently in that the tournament is busted and that it was never a sustainable programme.	agreement/disagreement					18			
1037	1	1.0	28	Yeah, that's bound to promote harmony in the tory party and bode well for Cameron's pro-Europe campaign almost as much as an EU crisis.	agreement/disagreement	prediction				24			
1037	1	1.0	29	It is about work ethics and taking responsibility, as you so rightly pointed out.	agreement/disagreement	certainty				14			
1037	1	1.0	30	Yes it is true that there is overwhelming support among the Greeks to keep the EURO.	agreement/disagreement					16			
1037	1	1.0	31	Different political contexts, I know, but the core principle of the Eurozone - that the bondholders must be paid every cent due to them - will be defended to the hilt and regardless of the human consequences.	agreement/disagreement	contrariety	prediction			37			
1037	1	1.0	32	I have two problems with this; firstly, Labour are not socialist; secondly, the idea that anyone can pay £3 and vote on party leader, but that party leader is essentially immoveable after election is farcical.	agreement/disagreement					35			
1037	1	1.0	33	No, Labour lost themselves; their message wasn't clear enough, their campaign was lazy and sluggish and ultimately, they are no longer the party many want them to be.	agreement/disagreement					28			
1037	1	1.0	34	For clarification purpose and to refute accusations of being a 'Kipper' by some advocates of Flexcit: personally, I am only nominally a member of UKIP, but for voting purposes only	agreement/disagreement	contrariety				30			
1037	1	1.0	35	They seem to be the only decent party left in UK politics, and I have enough in common with them to agree with most of what they stand for.	agreement/disagreement	source of knowledge				29			
1037	1	1.0	36	These facts run contrary to the narrative propagated by the media and our political leaders, who hoodwink that such radical views are only held by a tiny minority of extremists.	agreement/disagreement	source of knowledge				30			
1037	1	1.0	37	No, what makes sense is making the BoE independent of Downing Street control and placing a triumverate of governors in charge of the currency's management.	agreement/disagreement					25			
1037	1	1.0	38	No, what happened was that an innocuous little post was circulated around social media on the eve of the indyref.	agreement/disagreement					20			
1037	1	1.0	39	I know we have agreed before that we live in interesting times in Scotland but they just got a whole more interesting last night.	agreement/disagreement	contrariety	source of knowledge			24			
1037	1	1.0	40	Where I part company with Andrew is that I don't think we will ever reach the point where a referendum can be held without the risk of defeat.	agreement/disagreement	prediction	uncertainty			28			
1037	1	1.0	41	I also want to take issue with a couple of points about polling that Andrew made in support of his argument.	agreement/disagreement	volition				21			
1037	1	1.0	42	I am much more in agreement with LPW than you on the issue of the timing of a second referendum.	agreement/disagreement	contrariety				20			
1037	1	1.0	43	These MSPs, as you've admitted yourself, may run on varied, vague and confusing manifestos.	agreement/disagreement	source of knowledge	uncertainty			14			
1037	1	1.0	44	LPW was right, some people are determined to have another one before even deciding how we are going to combat some issues better.	agreement/disagreement					23			
1037	1	1.0	45	You might not like this but that is my opinion, and I see that high profile independence supporters, such as Derek Bateman, have said another one so soon is a very bad idea.	agreement/disagreement	contrariety	uncertainty			33			
1037	1	1.0	46	I don't know why you call this scapegoating.	agreement/disagreement					8			
1037	1	1.0	47	*** What I object is any tendency to conflate the three models; all are anti-democratic, but they are very different, and we must avoid an erroneous and counter-productive confusion.	agreement/disagreement	contrariety	necessity	volition		29			
1037	1	1.0	48	I’m not fundamentally opposed to a recall mechanism.	agreement/disagreement					8			
1037	1	1.0	49	Right, but my concern is not just the attitude of those inside the jury but outside as well.	agreement/disagreement	contrariety				18			
1037	1	1.0	50	Yes indeed, that's why I insist that consistency between allotted samples is so important.	agreement/disagreement					14			
1037	1	1.0	51	There are simply no legal provisions governing the expulsion of a state from the single currency, and thus no clear mechanism by which this could be achieved even if Athens fails to satisfy its creditors.	certainty	contrariety				35			
1037	1	1.0	52	Given that for the last five years GDP is down some 20-25%, we are clearly going the wrong direction.	certainty					19			
1037	1	1.0	53	I know I WOULDN'T want anyone to tame their opinion or tailor their words to please me.	certainty	volition				17			
1037	1	1.0	54	Yep, we definitely freeze out others opinions, especially if they conflict with our own.	certainty	agreement/disagreement				14			
1037	1	1.0	55	10+ years if aimed for, will simply not happen.	certainty	prediction				9			
1037	1	1.0	56	It's worth a screenshot for Rationalwiki for sure.	certainty					8			
1037	1	1.0	57	Of all the soundbites we are bound to be deluged with over the next eighteen months or so, 'business as usual' will prevail.	certainty	necessity	prediction			23			
1037	1	1.0	58	On the one hand, as some Tory MPs will clearly cause internal division, this might suggest that Cameron will have a hard time convincing Conservative voters of a 'Bremain'.	certainty	source of knowledge	prediction	uncertainty		29			
1037	1	1.0	59	Not to put too fine a point on it, that is a flat-out lie.	certainty	agreement/disagreement				14			
1037	1	1.0	60	Should they not win a constituency vote I certainly don't want to risk them losing any one of them in favour of a Green MSP.	certainty	hypotheticality	volition			25			
1037	1	1.0	61	Such a thing isn't possible.	certainty					5			
1037	1	1.0	62	I'm sure she probably wants to avoid that hence it wont happen.	certainty	prediction				12			
1037	1	1.0	63	But you no doubt have a far better reason for believing there are 75,000 trots and anarchists in the SNP.	certainty					20			
1037	1	1.0	64	Don't think I'll live long enough to see the repercussions that are going to occur but am sure they're going to be bad bad bad.	certainty	contrariety	uncertainty			25			
1037	1	1.0	65	The referendum is certainly winnable.	certainty					5			
1037	1	1.0	66	So that’s got to be different from Greece – though law and regulation here is so officious compared with how it was that you sometimes wish you could bribe the blighters just to push off and leave you in peace.	certainty	contrariety				40			
1037	1	1.0	67	Certainly it is true that there is a desperate need to upgrade the railway lines of Northern England.	certainty	necessity				18			
1037	1	1.0	68	Indeed, Wall Street has a guilty hand in the Greek crisis so should have a hand in its redemption.	certainty	necessity				19			
1037	1	1.0	69	as for brexit …….. its simply not going to happen.	certainty	prediction				10			
1037	1	1.0	70	There are though some European-level rules that are clearly of great value to our members.	certainty					15			
1037	1	1.0	71	But the most poignant item on the Queen’s schedule will undoubtedly be her first ever visit to a former concentration camp when she goes to Bergen-Belsen on Friday.	certainty					28			
1037	1	1.0	72	It will not be possible to avoid economic arguments entirely.	certainty	prediction				10			
1037	1	1.0	73	Yes, it clearly is the Beast that is being depicted — and theologians might well dispute whether this was a depiction of a moral flaw in human beings or Beelzebub himself.	certainty	source of knowledge				31			
1037	1	1.0	74	I think the risks you enumerate are spot on.	certainty	agreement/disagreement				9			
1037	1	1.0	75	It is hardly conceivable that under these circumstances he or the Catholic hierarchy would be actively at work undermining the governments of other countries through the impoverishment of the people and the destruction of their governments.	certainty					36			
1037	1	1.0	76	And I know that this is not democratic, but it would be those who retire to Scotland that are predominantly NO voters.	certainty	contrariety				22			
1037	1	1.0	77	There's no chance we'll get a majority support for independence or FFA until Scotland's finances are in a stronger place, trying in the next few years could cause us great damage in the longer term.	certainty	prediction	hypotheticality	uncertainty		35			
1037	1	1.0	78	But I can safely tell you that I’m young and not exactly right wing, yet I would never wish for Corbyn to become the Labour leader.	certainty	contrariety	volition			26			
1037	1	1.0	79	Britain simply isn't ready for his soft left ideology - the most recent Labour leader most have seen win was Tony Blair and he not certainly wasn't standing from a soft left standpoint.	certainty					33			
1037	1	1.0	80	It is now inconceivable that the French will ever tolerate 70m Turks as common citizens of Europe.	certainty	prediction				17			
1037	1	1.0	81	It is inconceivable that the British will tolerate France's rampant protectionism.	certainty	prediction				11			
1037	1	1.0	82	At the same time, the analysis is absolutely wrong.	certainty					9			
1037	1	1.0	83	The same downward spiral is all too plausible in a future crisis: the ruination of politics and the economy as demands for forgiveness from debtor nations like Italy or Portugal, say, founder on demands for austerity from Germany and Finland.	certainty	prediction				40			
1037	1	1.0	84	Some of them, as they make their decision, will doubtless recall the words of the poet Konstantinos Cavafy:	certainty	prediction				18			
1037	1	1.0	85	It became very clear that most Greeks had no idea of what they were were even voting on and were completely ignorant of what a yes or no vote meant.	certainty	source of knowledge				30			
1037	1	1.0	86	They really are added value to our stay.	certainty					8			
1037	1	1.0	87	I was very happy and peaceful during my stay here and I will back for sure.	certainty	prediction				16			
1037	1	1.0	88	Regular readers will know that I am passionately pro-EU and fear a Brexit above all things for my grandson’s future and the good of the country I love as a whole.	certainty	source of knowledge				31			
1037	1	1.0	89	What you need are psychologists as people believe the facts that they want to believe and in many respects the truth is entirely irrelevant in politics as I sure you aware from your time dealing with the NUT.	certainty	necessity				38			
1037	1	1.0	90	It is clear that any significant reforms will require a treaty change, which will require later ratification by all 28 EU states.	certainty	necessity				22			
1037	1	1.0	91	Make no mistake about it - there was nothing inevitable about support for independence continuing to swell after the referendum.	certainty	prediction				20			
1037	1	1.0	92	The SNP are clearly aware of that and I think that plays a large part in the fact they're not pushing for a second referendum after 2016.	certainty	uncertainty				27			
1037	1	1.0	93	This is true for all regions and nations of the UK.	certainty					11			
1037	1	1.0	94	In fact, telling you the methodology is wrong and the deficit figures are lower is actually a positive for the Independence argument.	certainty					22			
1037	1	1.0	95	There is no doubt now, that England and Scotland are moving in completely different political directions and that is not compatible with a long-term political union.	certainty					26			
1037	1	1.0	96	Surely by this logic excluding non-Scots born people from a vote which is purely a Scottish matter can hardly be deemed unfair.	certainty	source of knowledge				22			
1037	1	1.0	97	The bottom line is that native born Scots did indeed vote by a small majority for independence.	certainty	source of knowledge				17			
1037	1	1.0	98	But the reticence about taking on the advocacy role for Turkish membership has been evident across the political spectrum in Germany as politicians fear being ambushed by the visceral emotions stirred up by Turkey.	certainty	source of knowledge				34			
1037	1	1.0	99	Certainly some firms are shifting resources to nearshoring and outsourcing and introducing various online portals for clients.	certainty					17			
1037	1	1.0	100	Indeed the death of tournament has played into law firm partners' hands.	certainty					12			
1037	1	1.0	101	The Greek government’s untrustworthiness, intransigence and brinksmanship leading up to the referendum has undoubtedly triggered the eurogroup’s need for additional safeguards on any future loans to the Greeks.	certainty					28			
1037	1	1.0	102	It is about work ethics and taking responsibility, as you so rightly pointed out.	certainty	agreement/disagreement				14			
1037	1	1.0	103	This of course made it crystal clear Greece would not agree to anything and was only looking to push the blame for a no-deal to the creditors.	certainty					27			
1037	1	1.0	104	That never happened for Ireland, it is vanishingly unlikely to happen for Greece.	certainty	prediction				13			
1037	1	1.0	105	I can't see our Greek brothers and sisters taking this lying down.	certainty					12			
1037	1	1.0	106	But this crisis has made crystal clear that there is no room, zero, for any kind of Left politics within the contemporary EU.	certainty					23			
1037	1	1.0	107	It was also clear that the strength and militancy of the Left Platform was being talked out of all proportion in recent weeks.	certainty	source of knowledge				23			
1037	1	1.0	108	And in polls outre-Manche, Brexit will no doubt leap.	certainty	prediction				9			
1037	1	1.0	109	In truth, both of these should be seen as kite-flying exercises.	certainty	necessity				11			
1037	1	1.0	110	I certainly have not ‘decided on the Flexcit route’.	certainty					9			
1037	1	1.0	111	With the sole exception of haiving Ordnance Survey maps it really is inferior to my phone in every single respect.	certainty	contrariety				20			
1037	1	1.0	112	There is little doubt that something did go wrong with the BBC in the first decade of 21st century.	certainty					19			
1037	1	1.0	113	Rivalry between the US and China is inevitable but it needs to be kept within bounds that would preclude the use of military force.	certainty	contrariety	necessity	prediction		24			
1037	1	1.0	114	Further, these economic reasons are not just clear, but overwhelming.	certainty	contrariety				10			
1037	1	1.0	115	Well, that has all changed since last September and though my hopes too were very high on the 18th, I certainly DON'T consider the result to be a disaster.	certainty	contrariety				29			
1037	1	1.0	116	Only a general election can express the sovereign will of the nation and the May 7th vote made that will very clear indeed.	certainty					23			
1037	1	1.0	117	Thus the SNP, undoubtedly in unison with the other Scottish MPs, will assert Scotland's withdrawal from the union.	certainty	prediction				18			
1037	1	1.0	118	We ought to know that referenda are meaningless consultations with no legislative power... and certainly no constitutional power.	certainty	contrariety	necessity	source of knowledge		18			
1037	1	1.0	119	Without doubt SNP have to take the lead here.	certainty	necessity				9			
1037	1	1.0	120	Some write-off of debt will surely have to happen sooner or later, and in the meantime the Greeks will just squirm and try to wheedle their way out of their straitjacket.	certainty	necessity	prediction			31			
1037	1	1.0	121	Of course no one seriously thinks that the other opposition parties from the Liberal-Dems to Plaid the Irish parties to the SNP want to stop apprenticeships.	certainty	source of knowledge				26			
1037	1	1.0	122	Clearly we can rule out the views of clueless westmisnter bubble twats who still don't seem to have grasped we just won 56 out of 59 seats.	certainty	tact/rudeness	uncertainty			27			
1037	1	1.0	123	Right now and for the near future it's not even a question as she is light-years ahead of the westminster bubble twits.	certainty	prediction	tact/rudeness			22			
1037	1	1.0	124	Years of stagnation will see us on the valley floor just as surely as another closely-lost referendum.	certainty	prediction				17			
1037	1	1.0	125	I believe it will become painfully clear when the people of Scotland are ready for Indef 2.	certainty	prediction	uncertainty			17			
1037	1	1.0	126	All that is undoubtedly true.	certainty					5			
1037	1	1.0	127	So if Corbyn is elected and pulls the party back left, there is certainly a risk for the SNP that some will be drawn back.	certainty	hypotheticality				25			
1037	1	1.0	128	Corbyn is certainly more left wing than many, but he remains broadly within the confines of the BLP.	certainty	contrariety				18			
1037	1	1.0	129	Indeed they are essential.	certainty					4			
1037	1	1.0	130	While Varoufakis’s plan to create a parallel payments system based on the country’s tax register was certainly unorthodox, it was completely understandable.	certainty	contrariety				22			
1037	1	1.0	131	THEY WILL NEVER GIVE YOU SOCIALISM... NEVERTheir only problem is Russian and Chinese continental army and that is why in Europe still have something some from socialism.	certainty	prediction				27			
1037	1	1.0	132	The fact is that social mobility on any large or even medium scale is, and has always been a myth.	certainty	contrariety				20			
1037	1	1.0	133	I wouldn't describe what we call society as vicious, but certainly fragmented - there are many societies, and generally few of them look out for any others.	certainty	uncertainty	contrariety			27			
1037	1	1.0	134	And of course folk are asking how 31,000 asylum seekers a year are getting here; they're not floating into the Hamble on rafts from Morocco, that's for sure.	certainty					28			
1037	1	1.0	135	Maybe his campaign is just a publicity stunt and he's probably on the wrong side of much culture-wars stuff but the left hates him and he's not backing down.	contrariety	source of knowledge				29			
1037	1	1.0	136	There are simply no legal provisions governing the expulsion of a state from the single currency, and thus no clear mechanism by which this could be achieved even if Athens fails to satisfy its creditors.	contrariety	certainty				35			
1037	1	1.0	137	Today Greece can leave, and it will be an annoyance, but Europe and the rest of the world will survive quite nicely.	contrariety	prediction				22			
1037	1	1.0	138	Not this week or next year or even the year after that, but it will come about.	contrariety	prediction				17			
1037	1	1.0	139	I urge people to speak their minds, and I listen carefully to what is being said even if I don’t agree.	contrariety	necessity				21			
1037	1	1.0	140	When the Irish Parliamentary Party was eventually displaced in 1918, it was by the even more radical Sinn Fein.	contrariety					19			
1037	1	1.0	141	I'm open-minded about how long it will take in practice, but it would be naive to think that 10+ years isn't still a possibility.	contrariety					24			
1037	1	1.0	142	Labour have already chosen to drive over the cliff rather than get off the Union bus.	contrariety					16			
1037	1	1.0	143	And why not, they all lost their seats but seem to be just as regularly voicing off on political shows and newspaper articles as ever they did.	contrariety	source of knowledge	uncertainty			27			
1037	1	1.0	144	I hope the British establishment does not respond as it did in ireland.	contrariety	volition				13			
1037	1	1.0	145	The SNP have been absolutely instrumental in keeping Indy on the agenda and no one will ever forget that, but they are a political party, with party political outlooks.	contrariety					29			
1037	1	1.0	146	So, what this comes down to is a matter of timing and the size of the window that we may or may not have.	contrariety					24			
1037	1	1.0	147	From what friends and relatives in Toronto and Hamilton tell me Mulcair is having a good campaign and benefits from not being Harper while the Liberals C51 support for Harper has gone down very badly.	contrariety	source of knowledge				35			
1037	1	1.0	148	I don't disagree that the Yes campaign made mistakes, but they must be contextualised within the truly immense opposition they had.	contrariety	agreement/disagreement	necessity			21			
1037	1	1.0	149	Many just came too late to the debate to catch up in time before the vote, but they had moved in our direction.	contrariety					23			
1037	1	1.0	150	I was actually in Canada this last week, albeit in Ontario, so i asked a few locals their thoughts.	contrariety					19			
1037	1	1.0	151	Statistics also show, that despite or because of the NHS, no one gets out of here alive!	contrariety	source of knowledge				17			
1037	1	1.0	152	Be that as it may, we finally did join the European Union in January 1973.	contrariety					15			
1037	1	1.0	153	As you can see, we had been in the European Union for just over two years and we were already holding a referendum as to whether to leave!	contrariety	source of knowledge				28			
1037	1	1.0	154	Not that they were not also great Americans, but they simply weren’t in Hamilton’s league.	contrariety					15			
1037	1	1.0	155	If, by contrast, you kick Greece out there is still a chance of confining the damage to one country.	contrariety	hypotheticality				19			
1037	1	1.0	156	The UK FTSE index closed 2% lower yesterday, with worse for the German Dax off by 3.5%.	contrariety					17			
1037	1	1.0	157	However, stock market corrections are just that stock market corrections and should be viewed as BUY OPPORTUNITIES and not the start of bear markets as I have often reminded the readers of my articles over the past 6 years -	contrariety	necessity				40			
1037	1	1.0	158	There may be some business opportunities for Indian investors arising out of the decline in asset valuations in Europe, but caution would be the better part of valour.	contrariety	prediction	uncertainty			28			
1037	1	1.0	159	I've since seen two people who previously intended to campaign for SNP supporters to vote Green on the list say that they will no longer do so.	contrariety	source of knowledge				27			
1037	1	1.0	160	The difference between them and the SNP is that they are not an independence at any price party and so are not seeking to pretend that everything will be easy and seamless.	contrariety					32			
1037	1	1.0	161	Outcomes are what count, not the name of the party in power.	contrariety					12			
1037	1	1.0	162	Of course, the Tories are a disaster for vulnerable people across the UK - and are not muc good to anyone else apart from the super-rich - and we need to get rid of them.	contrariety	necessity	source of knowledge			35			
1037	1	1.0	163	Lose that, but keep monetary policy in Westminster's hands as the SNP is proposing, and it would be a disaster.	contrariety	hypotheticality				20			
1037	1	1.0	164	FFA was not only voted down - it was crushed.	contrariety					10			
1037	1	1.0	165	If trivial, the party ends up with a working majority, just a smaller one than it might have had.	contrariety	hypotheticality				19			
1037	1	1.0	166	To justify its democratic deficit, the EU needs to demonstrate its benefit to its citizens; but the more democratic it becomes and the more prominent national interests become, the harder that will be.	contrariety	necessity	prediction			33			
1037	1	1.0	167	A study by the Resolution Foundation says that Universal Credit would leave a family where the second parent earns £10,600 a year just £3,600 better off – compared with £6,000 under the current system.	contrariety	source of knowledge				34			
1037	1	1.0	168	Until recently, she could have been treated at Stafford Hospital, nearby, but because of government NHS plans, that hospital has been recently downgraded and doesn’t deal with acute cases- and now Royal Stoke has to cope with Stafford patients, too	contrariety					40			
1037	1	1.0	169	The UK will not take a different path to the same destination, but a different path to a different place.	contrariety	prediction				20			
1037	1	1.0	170	While Britain tries to work out what the second pillar could look like, the rest of the EU needs to get on with the business of defining the first pillar.	contrariety	necessity				30			
1037	1	1.0	171	There are many complicated reasons for opposition, but the objection of these Germans is simple.	contrariety					15			
1037	1	1.0	172	One official noted earlier this week that delegations at the Geneva talks should have just 10 people, but one group insists it needs 22.	contrariety	source of knowledge				24			
1037	1	1.0	173	Despite a reputation for equality, the 9.5-million-strong Scandinavian nation is feeling the pinch of a pay gap — and opening up its first-ever emporium of discounted food for Stockholm's poor.	contrariety					30			
1037	1	1.0	174	Fairbanks was not threatened by fire, but heavy smoke from more than a dozen nearby fires reduced visibility to about eight blocks and residents woke up to layers of smoke ash reminiscent of a winter's first snowfall, officials said.	contrariety	source of knowledge				39			
1037	1	1.0	175	The nations involved in the talks with Iran, which include Britain, China, France, Germany, Russia and the United States, have set June 30 as a deadline for a deal but the negotiations are widely expected to slide past that date.	contrariety					40			
1037	1	1.0	176	While the question on EU membership is not available for recent years, other questions that are highly correlated show that the preferences of UK citizens on EU integration should be at about the same level as in 2010 and 2011.	contrariety	source of knowledge				40			
1037	1	1.0	177	If you like Green policies more than SNP policies, vote Green on the list.	contrariety	hypotheticality				14			
1037	1	1.0	178	He had to cancel it when he won by 2 points and found himself Secretary of State for Scotland instead.	contrariety	necessity				20			
1037	1	1.0	179	A gesture like that may well have persuaded me to vote Green on the list, but that is not what is happening.	contrariety	uncertainty				22			
1037	1	1.0	180	This was a seat where everyone who was anti-Tory needed to get together to unseat Mundell, and here were the Greens actively acting against that objective.	contrariety	necessity				26			
1037	1	1.0	181	I think the difference is that you are talking about the likelihood of various events, whereas I am talking about the power of one vote.	contrariety	uncertainty				25			
1037	1	1.0	182	It's a system that allows massive recriminations in hindsight, but no possibility at all to predict in advance.	contrariety					18			
1037	1	1.0	183	To clarify, I mean that it's not simply a matter of accurately predicting percentages, it's the necessity of knowing exactly where each party stands in the queue to get the next list seat.	contrariety					33			
1037	1	1.0	184	That's not maximising anything, it's only handing the Greens influence their basic electoral support doesn't merit.	contrariety					16			
1037	1	1.0	185	Voting SNP resulted in more Pandas than Labour MPs.	contrariety					9			
1037	1	1.0	186	I would say that's a result if you're a unionist - even if it was delivered by English and Welsh people.	contrariety	hypotheticality	uncertainty			21			
1037	1	1.0	187	I think it might have happened before the referendum, but for Project Fear and the BBC's slavish promotion of it.	contrariety	uncertainty				20			
1037	1	1.0	188	No matter how bad things are under the union, they'd be ten times worse with independence.	contrariety	hypotheticality				16			
1037	1	1.0	189	People don't necessarily believe it, but they're still too afraid to take the chance.	contrariety					14			
1037	1	1.0	190	You can hold a vote, but it wont be legally binding without Westminster backing.	contrariety					14			
1037	1	1.0	191	Life is rough in some of the SNP heartlands but I didn't think things had degenerated to that extent!	contrariety	uncertainty				19			
1037	1	1.0	192	Having heavily lost the referendum, their vote soared to over 49% in the ensuing election.	contrariety					15			
1037	1	1.0	193	They'll want to savour this - not blast both feet off 5 minutes after returning to power.	contrariety	prediction				17			
1037	1	1.0	194	Everyone can see that - apart from the SNP.	contrariety	source of knowledge				9			
1037	1	1.0	195	The SNP's LIST seats take it to a majority, even though they won a minority of the vote.	contrariety					18			
1037	1	1.0	196	We could still maintain physical constitiencies - but parliament overall would reflect vote share per party.	contrariety					16			
1037	1	1.0	197	There are ways of tweaking it to give better proportionality while retaining the good features.	contrariety					15			
1037	1	1.0	198	As we've seen over the past few weeks, the turmoil in Greece caused stocks and the Euro to fall sharply, with not only Greek banks being shut but also some in Southern Italy for fear of contagion.	contrariety	source of knowledge				37			
1037	1	1.0	199	Everyone knows the country is financed by colossal debt and the remnants of a command economy, and their stocks are overvalued, but as long as confidence held China was still a boom market.	contrariety	source of knowledge				33			
1037	1	1.0	200	Once again, this is not the talk of doom-mongers, but 'respected' institutions everywhere.	contrariety					13			
1037	1	1.0	201	Granted, his party may commit regicide in the process, but the pressure on Cameron to postpone a referendum would be immense.	contrariety	agreement/disagreement	hypotheticality	prediction	uncertainty	21			
1037	1	1.0	202	Don't think I'll live long enough to see the repercussions that are going to occur but am sure they're going to be bad bad bad.	contrariety	certainty	uncertainty			25			
1037	1	1.0	203	It has to be realised here that he is a deceitful propaganda con-artist who doesn't write objectively but instead with selective truths to support an agenda.	contrariety	necessity	source of knowledge			26			
1037	1	1.0	204	That’s why he may claim to be in opposition to Cameron but really isn’t.	contrariety	uncertainty				14			
1037	1	1.0	205	So that’s got to be different from Greece – though law and regulation here is so officious compared with how it was that you sometimes wish you could bribe the blighters just to push off and leave you in peace.	contrariety	certainty				40			
1037	1	1.0	206	That aside, I know many wrongs don’t make a right but with all these greenhouses around lobbing stones at the Greeks won’t do.	contrariety	source of knowledge				23			
1037	1	1.0	207	‘They’ll trade alright, but any post brexit EU trade agreement will have a stiff price attached as Norway will testify.	contrariety	prediction				20			
1037	1	1.0	208	Rather than establishing minimums that national governments can choose to build on, the European Commission encourages regulations to be treated as maximum standards.	contrariety					23			
1037	1	1.0	209	After all, both Moscow and Beijing carry more weight in bilateral dealings with small member states than they do when dancing with the EU behemoth – and they would prefer it to stay that way.	contrariety					35			
1037	1	1.0	210	With the Ukraine crisis putting a torch to Euro-Russian relations, Chinese investment in Europe has soared to $18 billion in 2014, while bilateral trade exceeded $615 billion - and a new EU-China investment treaty is now being negotiated.	contrariety					38			
1037	1	1.0	211	MACD and Williams’ are pointing downward movement while Stich value is oversold and RSI is showing for an upward trend.	contrariety	source of knowledge				20			
1037	1	1.0	212	NZDUSD and AUDUSD increased as well, but the bearish are fighting back in these pairs.	contrariety					15			
1037	1	1.0	213	Even Nigel Farage, the ‘Saviour of British Sovereignty’, whilst knowing this, insists that going the ‘Article 50′ route is ‘the polite thing to do’ even though he is hardly known for being polite to the EU in their Parliament.	contrariety	source of knowledge				39			
1037	1	1.0	214	He described a forthcoming congressional vote on lifting sanctions as either a vote for war or for peace.	contrariety					18			
1037	1	1.0	215	And that's on its way now, as opinion firms up in support of the EU, with 68 percent in this survey broadly in favour of UK membership - far more than would vote for any particular political party.	contrariety	source of knowledge	prediction			38			
1037	1	1.0	216	It was this shock as much as anything that led to NovoRossiya gaining such momentum and splitting the territory.	contrariety					19			
1037	1	1.0	217	He was re-elected as Prime Minister in the 2015 general election with the Conservatives winning a surprise parliamentary majority for the first time since 1992, despite consistent predictions of a second hung parliament.	contrariety					33			
1037	1	1.0	218	Cameron voted to retain Section 28 and voted against gay adoption, but he supported commitment for gay couples in a 2005 speech, and in October 2011 urged Conservative MPs to support gay marriage.	contrariety					33			
1037	1	1.0	219	Despite a call to apologise for hiring Coulson by the leader of the opposition Ed Miliband, Cameron defended the appointment, saying that he had taken a conscious choice to give someone who had screwed up a second chance.	contrariety	source of knowledge				38			
1037	1	1.0	220	Conservative MPs Jacob Rees-Mogg and Peter Bone called for a pact, and Conservative MEP Daniel Hannan called for a 'Unite The Right' alliance in spite of what Farage said.	contrariety					29			
