Texto	Humanos	Logistic Regression	Naive Bayes	Support Vector Machines	Ensemble
Acabei de ganhar a Conquista [Bem-vindo a Draenor] #Warcraft!	1.0	Positivo	Positivo	Negativo	Positivo
Amo quando meu pai vai viajar pq ele deixa dinheiro pra mim ❤️	1.0	Negativo	Negativo	Positivo	Negativo
Se tem uma música que adoro é Maurício...  Até pensei que era mais por saber que ainda sou caaaapaaaaz	1.0	Negativo	Positivo	Positivo	Positivo
Esteve um sol fantástico e agora chove torrencialmente adoro o clima mediterrâneo	1.0	Positivo	Positivo	Positivo	Positivo
@CientificTxec RUMOR: Fire Emblem Fates es un DLC de Undertale para WiiU y NX.	1.0	Positivo	Positivo	Negativo	Positivo
Comprei um copo da frozen p levar p Colégio, fez sucesso hj! 😍	1.0	Positivo	Positivo	Positivo	Positivo
Na real mesmo eu to só pra ver o time de basquete dos EUA nas Olimpíadas	1.0	Positivo	Negativo	Positivo	Positivo
Amo essa garotaaa kk	1.0	Positivo	Positivo	Positivo	Positivo
NÃO TAMO BOM, TA BOM EXCELENTE 😎👌	1.0	Positivo	Positivo	Positivo	Positivo
Acho que hoje vou ao cinema, aproveitar e ir no outback pq já tem dias que To desejando	1.0	Negativo	Negativo	Positivo	Negativo
Vamos pro último quarto vencendo por 53-49. EXCELENTE 3ºQ, parcial de 26-17!!! VAMO VASCO!!!!	1.0	Positivo	Positivo	Negativo	Positivo
@uaimatheus seja oque for muuuuuuito boa sorte pra vcs e sucesso	1.0	Positivo	Positivo	Positivo	Positivo
Adoro minha internet,meu celular mais ainda	1.0	Positivo	Positivo	Positivo	Positivo
Tão olhando frozen pela 736838673829 vez	1.0	Negativo	Positivo	Negativo	Negativo
@otaviocohen Nunca li, mas não achei tão horrível. É target, né? (rs) Fez sucesso com um nicho e depois explodiu. Você leu?	1.0	Negativo	Negativo	Negativo	Negativo
@fixdrauhI claro estou aos prantos de emoção kkkk	1.0	Positivo	Positivo	Positivo	Positivo
@Liima_Nath @DaniBNunesss não vivo sem vocês ! #brasil	1.0	Negativo	Negativo	Positivo	Negativo
"""Oi gata vamo lá em casa pra eu te amostrar meus personage do world of warcraft"""	1.0	Positivo	Positivo	Positivo	Positivo
Dica para escapar do trânsito: desci do ônibus, entrei em um @McDonalds_BR e ficarei aqui comendo até ver que os carros estão andando	1.0	Positivo	Positivo	Negativo	Positivo
@lobatinho123 parabennnns viadao....tudo de bom pra vc mlq doido..sabe que vai ter que patrocinar o gelo ne ????	1.0	Positivo	Negativo	Negativo	Negativo
Adoro essas frases, awn	1.0	Positivo	Positivo	Positivo	Positivo
O Amor é a chave para se abrir diversas portas...Inclusive a da tão almejada Felicidade!💖	1.0	Positivo	Positivo	Positivo	Positivo
Vamos ajudar a minha amiga @ceusdepoesia bater sua meta de 1K de seguidores, ela é uma excelente seguidora! #SabadoNoClubeSDV	1.0	Positivo	Positivo	Positivo	Positivo
@vai_comer_no_cu Mas não vivo sem ti :(	1.0	Positivo	Negativo	Negativo	Negativo
Tu és tudo pra mim. Eu até podia ir até o lugar mais lindo, mais incrível, mais fantástico que se possa imaginar, *mas	1.0	Positivo	Positivo	Negativo	Positivo
Esse gajo safa-se sempre, a série quer mesmo o gajo vivo fds	1.0	Negativo	Negativo	Negativo	Negativo
Adoro neve, podia nevar mais perto!	1.0	Positivo	Positivo	Negativo	Positivo
Ai só outro hambúrguer daquele do SENAI	1.0	Negativo	Negativo	Negativo	Negativo
"@alanzoka Alan joga um jogo de RPG Horror chamado "" Mario The Music Box "" e muito bom mesmo"	1.0	Positivo	Positivo	Negativo	Positivo
@orientwjb eu fico com pena dele ser dql jeito tlgd amor, ele poderia ter um futuro maravilhoso pks	1.0	Positivo	Negativo	Negativo	Negativo
A cor da minha unha tá linda demais	1.0	Negativo	Positivo	Positivo	Positivo
@AmorFk2 @reiduan157 mais uma vez obrigado, vocês são demais!!!!	1.0	Positivo	Positivo	Negativo	Positivo
Eddie simplesmente fantástico	1.0	Positivo	Positivo	Positivo	Positivo
Não tamo bom tamo excelente	1.0	Positivo	Positivo	Positivo	Positivo
adorava ter pés pequenos	1.0	Negativo	Positivo	Negativo	Negativo
To fazendo oq gosto,comendo	1.0	Negativo	Negativo	Negativo	Negativo
Mae pinto minhas unhas, dos pés e das maos ahuahua	1.0	Positivo	Negativo	Negativo	Negativo
Cara entrar no universo Apple é muito loco… sem comparação com outras plataformas… juro pra vocês que nunca defenderia a Apple mas né…	1.0	Negativo	Positivo	Positivo	Positivo
Pra vocês que estão votando, eu amo vocês também<3 ailoviu so much WATCH HISTORY AND WMYB #VoteDragMeDownUK #KCA	1.0	Negativo	Positivo	Negativo	Negativo
Maravilhoso	1.0	Positivo	Negativo	Positivo	Positivo
@JacobWhitesides eu te amo	1.0	Positivo	Negativo	Positivo	Positivo
acreditei, errei confesso, de todas do teu bonde foi você quem fez sucesso	1.0	Positivo	Positivo	Negativo	Positivo
@fsp4ever @froio devo pegar um na blackfriday la pelos EUA, quais modelos recomendam? tou de olho no ASUS PB287Q	1.0	Negativo	Negativo	Positivo	Negativo
Terminei de assistir o On Stage e está maravilhoso mds ❤️❤️❤️	1.0	Positivo	Negativo	Positivo	Positivo
Mixirica  e gostoso em	1.0	Negativo	Negativo	Negativo	Negativo
Essa tal dessa frozen vai acabar com meu bolso, com meu dinheiro MAS tudo bem 💘	1.0	Negativo	Negativo	Negativo	Negativo
Adoro o fato do Thomas ser gentr como a gente, que vê mts séries, sofre por ships. E o legal é q ele twitta em português, melhor pessoa	1.0	Positivo	Positivo	Negativo	Positivo
Aliás tá mó gostoso aqui	1.0	Negativo	Negativo	Negativo	Negativo
ai consegui fazer hamburguer e nao queimei amem os deuses do hamburguer estao do meu lado hoje	1.0	Negativo	Positivo	Negativo	Negativo
Vou assistir no ytb os videos do whindersson , pq ele e fantastico	1.0	Positivo	Positivo	Negativo	Positivo
Adoro a nova música da Sia	1.0	Negativo	Positivo	Positivo	Positivo
eu gosto daquelas banda/cantor que vc coloca no aleatório e qualquer música que tocar ta bom pq são todas perfeitas	1.0	Negativo	Negativo	Negativo	Negativo
@pandradeespn jogo amarrado mais tá bom	1.0	Positivo	Negativo	Positivo	Positivo
Esperando a canonização desse ser humano fantástico chamado @pefabiodemelo	1.0	Positivo	Positivo	Positivo	Positivo
JUSTIN GANHOU AAAAAAAAAAAH. MERECEU SIM OU CLARO  SELENA ON GRAMMY  #VoteSelenaGomez #KCA	1.0	Negativo	Positivo	Negativo	Negativo
"""a parte do beijo foi legal"""	1.0	Positivo	Positivo	Positivo	Positivo
Adoro os pontos finais da @Phee_ME	1.0	Positivo	Positivo	Positivo	Positivo
amo iPhone pq quebra a tela trinca tudo fica caindo aos pedaços mas continua funcionando suave meu bebê voltou te amo apple	1.0	Positivo	Negativo	Positivo	Positivo
amanhã vou no o boticário comprar umas coisas, está com uns descontos bons	1.0	Positivo	Positivo	Positivo	Positivo
@Bruh_AppleHead eu adoro essa capa <3 o seu icon e lindo <3 eu tenho vários icons desse tipo igual o meu dijdjsksoskls	1.0	Positivo	Positivo	Positivo	Positivo
@pathy EU SOUBE Q VC VAI ESTAR AQUI EM BELÉM!!! E OLHA A ALEGRIA!! EU TÔ QUASE INFARTANDO, NEM SEI SE CHEGO VIVO ATÉ O DIA DA PEÇA AÍ CRL	1.0	Negativo	Positivo	Negativo	Negativo
Assisti O Regresso, e não é meu estilo de filme, mas colocaram Leo pra sofrer muito mesmo pra ganhar esse Oscar. #dáooscardomenino	1.0	Positivo	Positivo	Negativo	Positivo
Nego sinta-se feliz porque no mundo tem alguém que diz que muito te ama que tanto te ama 🎶	1.0	Negativo	Negativo	Negativo	Negativo
Amo tanto mas tanto o meu bf	1.0	Positivo	Negativo	Positivo	Positivo
@priscilaevelynn aeeee caraiu, a dona da porra toda voltoooou	1.0	Negativo	Positivo	Negativo	Negativo
Lanche engorda d++++ affff mas tão bom os hambúrguer	1.0	Positivo	Negativo	Positivo	Positivo
Deu até vontade de comer no outback depois dessa propaganda	1.0	Positivo	Positivo	Positivo	Positivo
As almas se conhecem pela energia, não pela aparência!!!	1.0	Positivo	Positivo	Negativo	Positivo
O meu namorado foi tão querido neste dia dos namorados !!!! Que romântico 😍	1.0	Positivo	Positivo	Negativo	Positivo
@MarchettiRubens também te amo!! missa amanhã vc estará presente né?	1.0	Positivo	Positivo	Negativo	Positivo
@laraskulblondie obrigado querida excelente sábado prá você 😘	1.0	Positivo	Positivo	Positivo	Positivo
Esse perfume novo da boticário eh bom demais <3	1.0	Positivo	Positivo	Negativo	Positivo
@Lua_Blanco sente orgulho de ver seu irmão atuando na novela totalmente demais  ?    +1	1.0	Positivo	Positivo	Negativo	Positivo
Esse gel secante de espinhas da boticário/capricho é excelente! Amei.	1.0	Positivo	Positivo	Negativo	Positivo
adoro-te, amo-te, te quiero, te vivo, love you, já te disse que te amo e te quero para sempre? ❤	1.0	Positivo	Positivo	Negativo	Positivo
Olha que esse papo ta interessante...	1.0	Negativo	Negativo	Positivo	Negativo
@CarusFranciele compra um da Asus e pede pra um amigo técnico com a manha pra turbinar ele :)	1.0	Positivo	Positivo	Negativo	Positivo
Amo passear ❤️	1.0	Positivo	Negativo	Positivo	Positivo
ja ouvi esse album umas três vezes só hoje gente é bom demais	1.0	Positivo	Positivo	Positivo	Positivo
RT @Miaupaiva08: Eu to querendo comer pãozinhos de queijo	1.0	Positivo	Positivo	Negativo	Positivo
Entrei na cacau show hoje de boas e tava tocando sad girl da Lana, meu deus quem disse que eu  saí dali??	1.0	Positivo	Positivo	Positivo	Positivo
@TatuaOMeuNome porque é lá que está o nosso amor e é lá que me podes encontrar sempre <3333 pk o dia dos namorados não é só no 14 *.*	1.0	Positivo	Positivo	Positivo	Positivo
Você tem aquilo que eu adoro baby	1.0	Positivo	Positivo	Positivo	Positivo
Onteeeemmm foi excelente 😍😍😍❤️❤️❤️😍😍	1.0	Positivo	Positivo	Positivo	Positivo
#batebolanaveia que treinador esse Simeone! Excelente! Parabéns ao meu Atlético pela vitória de hoje. #AupaAtléti	1.0	Positivo	Positivo	Positivo	Positivo
@myllenaf eh pq vc eh linda ueh	1.0	Negativo	Negativo	Negativo	Negativo
@zquadgirI corta mesmo, amo cortar cabelo	1.0	Positivo	Negativo	Positivo	Positivo
Adoro esta miúda	1.0	Positivo	Positivo	Positivo	Positivo
Você começa a dar valor pra sua Universidade quando um colega seu troca a USP e a UFPR pra cursar o mesmo curso que você na PUC	1.0	Positivo	Negativo	Negativo	Negativo
@PinguimEspacial kkkkkkkkkkkkkkk po Sony, é só um fone, libera aí	1.0	Negativo	Negativo	Negativo	Negativo
Bom dia, @E_SUBE_10CRE Que todos tenham mais um abençoado dia de vitórias, harmonia e proteção!!!	1.0	Positivo	Positivo	Negativo	Positivo
O tanto que gosto dessa foto de capa	1.0	Positivo	Negativo	Positivo	Positivo
@LMPRETALINDA pooo amiga, vê legal com o magreza , ele q Me deu um apoio	1.0	Positivo	Positivo	Negativo	Positivo
Single novo da Lua, lançamento vlog LuMel, péssimo dia pros haters	1.0	Positivo	Negativo	Positivo	Positivo
Só me interessa Warcraft e Animais Fantásticos esse ano	1.0	Positivo	Negativo	Positivo	Positivo
convoca sua amiga que você nunca teve aquela que você confia em suma na harmonia e fortalece o dia a dia que você nunca teve	1.0	Positivo	Positivo	Positivo	Positivo
odeio entrar no facebook e ver as fotos das minhas primas lindas e maravilhosas e eu aqui puro um bicho	1.0	Negativo	Positivo	Negativo	Negativo
Sair e ficar sem beber vc até consegue curtir mas é igual correr sem  tennis, VC consegue correr mas q ajuda pra caralho ajuda	1.0	Negativo	Negativo	Negativo	Negativo
hoje o curta que produzimos no curso de cinema foi exibido no cine arte no conjunto nacional <3 foi maravilhoso	1.0	Positivo	Positivo	Positivo	Positivo
caralho por isso eu amo a netflix  as séries não tem todo aquele conservadorismo horroroso da tv	1.0	Negativo	Negativo	Negativo	Negativo
mcdonalds: amo muito tudo isso	1.0	Positivo	Negativo	Negativo	Negativo
@Marcela_Tais Escutando a música Voar, percebi quão é linda, o arranjo musical, a letra, o cenário do vídeo da Sony Music Live	1.0	Negativo	Negativo	Negativo	Negativo
mas ngm chega aos pés de ruby fucking rose.	1.0	Negativo	Negativo	Negativo	Negativo
Recebemos o catálogo da Cacau Show porque eles virão até a firma pra vender... Acho que vou ter que vender um rim pra comprar.	1.0	Negativo	Positivo	Negativo	Negativo
selena gomez oq dizer dessa pessoa maravilhosa da cabeça aos pes de dentro pra fora	1.0	Positivo	Positivo	Negativo	Positivo
tenho de ir mais vezes ao expresso, econtrei lá bué pessoal hoje, O Bispo, o Marcos Frias, o Mário, aquilo é altamente curto bué!	1.0	Positivo	Positivo	Negativo	Positivo
@Thomborges foi 3 e poco, quase 4, comprei um Asus, não sei o modelo, mas ele tem 15,5 polegadas, touch, i7, etc... Achei ele mais rápido	1.0	Positivo	Positivo	Negativo	Positivo
O Club House, do @McDonalds_BR, é bom. O recheio cai do pão na hora por causa do molho. E o molho e a cebola dão um gosto diferente, forte.	1.0	Positivo	Negativo	Negativo	Negativo
Adoro ganhar carinho de criança 😍😍😍	1.0	Positivo	Positivo	Negativo	Positivo
Aoooo Santa Catarina, sábado to de volta tchêê ! 😌	1.0	Positivo	Positivo	Negativo	Positivo
@justpupthings @frulanis sou apaixonada por estas crianças lindas, amo-os d+.	1.0	Positivo	Positivo	Negativo	Positivo
Amo a shawn x2 #VoteShawnMendes #KCA	1.0	Positivo	Negativo	Positivo	Positivo
@mallukox - Bom dia Nando, hj o dia vai ser looooongo...Vamos lá, pensamentos positivos e fe, fim do PT/Dilma/Lula...Bjos,💋	1.0	Negativo	Positivo	Negativo	Negativo
stay strong jungkook não eh mesmo força bicho nessa armadilha da gripe todos caem mas vc se erguerá	1.0	Positivo	Positivo	Positivo	Positivo
interessante — assistindo SPN Fatos Desconhecidos	1.0	Positivo	Positivo	Negativo	Positivo
Para: @dianafrmaciel  Msg: És muito gira e não devias passar o dia dos Namorados sozinha, adoro-te 💕	1.0	Positivo	Positivo	Negativo	Positivo
Pq as conversa ficam mais interessante no meio da calçada?	1.0	Positivo	Negativo	Positivo	Positivo
@whyfrangipane direções seria bom	1.0	Positivo	Positivo	Positivo	Positivo
@Barbaraa_2000 te amo bai.	1.0	Positivo	Positivo	Positivo	Positivo
"@claudialuizat @nicollecastro__ @McDonalds_BR KKKKKKkKKKK ""olha o tamanho desse hambúrguer, como assim"""	1.0	Negativo	Negativo	Negativo	Negativo
eu amo a duda	1.0	Positivo	Negativo	Positivo	Positivo
Ai graças a deus carl tas vivo	1.0	Positivo	Negativo	Positivo	Positivo
Namorado da minha mãe me deu uma barra de Laka e um CD do Cazuza, adoro ele!! Melhor pessoa ❤	1.0	Positivo	Positivo	Negativo	Positivo
Meu pai comprou um celular da asus, se for bom...PERDEU!	1.0	Positivo	Negativo	Negativo	Negativo
CLÃ, TO VIVO RELAXA	1.0	Positivo	Negativo	Negativo	Negativo
Porque um MACnífico Bacon seria maravilhoso hoje !! #mcdonalds #fome #vivabacon	1.0	Positivo	Positivo	Negativo	Positivo
Cacau show me citou, adorei kk	1.0	Positivo	Positivo	Positivo	Positivo
"""Ai mãe, o irmão do Tiago, o João Mário, ele é que joga tanto, é incrível"" uma senhora hj disse-me q o filho lhe tinha dito isto sobre mim 💘"	1.0	Negativo	Positivo	Negativo	Negativo
Mo legal cantar isso canta aí na sua casa.	1.0	Negativo	Positivo	Negativo	Negativo
olha, pra eu desejar parabéns pra alguém no facebook hj em dia, a pessoa tem que ser mt especial	1.0	Negativo	Positivo	Negativo	Negativo
Fiquei com vontade de comer beijinhos 😔 e Outback tb! Affff nunca vou deixar de ser gorda mesmo 🙄	1.0	Positivo	Negativo	Negativo	Negativo
@baIeado só desculpo Pq gosto de vc	1.0	Negativo	Negativo	Positivo	Negativo
Bom diiaaa amoress	1.0	Positivo	Negativo	Positivo	Positivo
boticário abriu vagas p jovem aprendiz, partiu ganhar coisas de graça	1.0	Negativo	Positivo	Positivo	Positivo
Esse Tim beta que o anão me deu é tudo de mais maravilhoso. Parece até 3G de pós pago. Tô nas nuvens agora	1.0	Positivo	Negativo	Negativo	Negativo
porrada comendo amo	1.0	Positivo	Positivo	Positivo	Positivo
WhatsApp é legal, um chat no Facebook é bacana, mas nada, nunca, vai superar aquilo que você sente quando encontra a pessoa ao vivo.	1.0	Positivo	Positivo	Negativo	Positivo
Hoje teve deadpool e outback com a galeris linda <3	1.0	Positivo	Positivo	Positivo	Positivo
Cara eu to vendo umas curiosidades da produção de O Regresso e pqp, q filme foda que produção foda, deus do céu	1.0	Negativo	Negativo	Negativo	Negativo
@BabimuBabi Parabéns Princesa, muito sucesso, Deus te abençoe... Te amoo muito Babi ❤❤❤❤❤😘😘😍😍	1.0	Positivo	Positivo	Positivo	Positivo
@docellao só mexi nas lojas mesmo. Gostei bastante da inteface da Asus.	1.0	Positivo	Positivo	Negativo	Positivo
Outro beijo pra Asus, porque printar no zenfone ficou bem mais facil	1.0	Positivo	Positivo	Positivo	Positivo
Funk é legal cara	1.0	Positivo	Positivo	Positivo	Positivo
Vai ter sunday dia 06 com o Biel e é claro que nessa eu vou né 😍	1.0	Negativo	Negativo	Negativo	Negativo
@MeStalke é algo fantástico com uma linha preta emo dark e mais uma pedra tbm emo gotica imagina TUDO Q VOCE QUER e pode usar sem dormir	1.0	Positivo	Positivo	Positivo	Positivo
@biielsoares louca por você, gato	1.0	Positivo	Negativo	Positivo	Positivo
"""Quero tua felicidade, tu merece muito pelo que tu já passou"""	1.0	Positivo	Positivo	Negativo	Positivo
Hoj o vôlei foi mtt bom ..	1.0	Positivo	Positivo	Negativo	Positivo
essa carol narizinho é demais pqp	1.0	Negativo	Negativo	Negativo	Negativo
ela é tão interessante e eu aqui pichando muro	1.0	Positivo	Negativo	Negativo	Negativo
mas amo sou o rosto redondinho amo sou rostos redondos não posso negar	1.0	Negativo	Negativo	Negativo	Negativo
@vsfmllk gosto memo	1.0	Positivo	Negativo	Positivo	Positivo
Égua eu me divirto demais aqui kkk	1.0	Positivo	Positivo	Positivo	Positivo
na verdade acredito que hoje vai ser maravilhoso	1.0	Positivo	Negativo	Negativo	Negativo
@marialuizareal claro S2 Você vai cuidar de mim! Eu vou cuidar de você!  Rsrs	1.0	Positivo	Positivo	Positivo	Positivo
Quarta feira vou voltar a jogar futebol, 6meses depois finalmente	1.0	Positivo	Positivo	Positivo	Positivo
Queria ser forte o suficiente pra certas coisas	1.0	Negativo	Negativo	Positivo	Negativo
Não tamo bom tamo excelente 🎶💥	1.0	Positivo	Positivo	Positivo	Positivo
Preciso fazer algo interessante para me ocupar	1.0	Positivo	Negativo	Positivo	Positivo
@AndrePedroso77 Asus Rog (republic of gamers) sao gandas canhões tipo sao mais para jogos mas da para tudo, sao mesmo brutais	1.0	Positivo	Negativo	Positivo	Positivo
Pintei minhas unhas com um azul maravilhoso	1.0	Positivo	Negativo	Positivo	Positivo
@ninarocha eu gosto dele. Ele simplesmente não sabe como ser diante de mulheres que gosta ou de gente mais bem sucedida que ele.	1.0	Positivo	Positivo	Negativo	Positivo
Fui na boticario e quase chorei quando vi o perfume q meu pai usava, passei no braço e foi como se eu sentisse a presença dele do meu lado	1.0	Negativo	Negativo	Negativo	Negativo
@tecnoshlol chera meu peido te adoro	1.0	Positivo	Positivo	Positivo	Positivo
@Alister_96 acho que vc gosta de The Legend Of Zelda	1.0	Positivo	Positivo	Positivo	Positivo
@willps253 nada chega aos pés da rola do moreno,,,,,,,,,,	1.0	Negativo	Negativo	Negativo	Negativo
Amanhã tem festinha pra ir com o quarteto fantástico	1.0	Positivo	Positivo	Positivo	Positivo
Essas novinhas de hj em dia , tão demais ô loco	1.0	Positivo	Positivo	Negativo	Positivo
O Projeto Tamar já soltou 25 milhões de tartarugas em todo país. TRABALHO FANTÁSTICO. PARABÉNS AOS ENVOLVIDOS!	1.0	Positivo	Positivo	Negativo	Positivo
eu amo tanto esse filme	1.0	Positivo	Negativo	Positivo	Positivo
Lucifer até agora é a única série que consegue se manter interessante a cada episódio.	1.0	Positivo	Positivo	Negativo	Positivo
Quero ver o Regresso antes q sai de cartaz	1.0	Positivo	Negativo	Positivo	Positivo
vou ficar com a música do outback na cabeça agr   #TWD6NaFOX	1.0	Negativo	Positivo	Positivo	Positivo
Posto de saúde de São Paulo. Atendimento rápido e preciso.	1.0	Negativo	Positivo	Negativo	Negativo
@DMandyy acho bom ser só isso	1.0	Positivo	Positivo	Positivo	Positivo
O Regresso: DiCaprio, esse Oscar tem q ser seu. \0/	1.0	Positivo	Negativo	Negativo	Negativo
@AlineComNutella um maravilhoso fim de semana pra vc minha querida,tudo de bom , linda,simpática, pessoas como vc q enriquece o mundo. Bjss.	1.0	Positivo	Negativo	Negativo	Negativo
@danielfausttino Parabéns novamente, meu anjooo que seu dia seja maravilhoso. Amooooo você ❤️	1.0	Positivo	Positivo	Positivo	Positivo
@morrisonderavin @killianjonnes ai tao falando que nao vao comprar mais na cacau show, chega na pascoa ta todo mundo com ovo de la feliz	1.0	Negativo	Negativo	Negativo	Negativo
SAIU TEASER DE STAR WARS CARAIO	1.0	Positivo	Positivo	Positivo	Positivo
@BTS_twt você não é frozen mais gelou minhas estruturas	1.0	Positivo	Negativo	Positivo	Positivo
@QueenOfRays que bom que foi rápido kkkkk	1.0	Positivo	Positivo	Positivo	Positivo
Não me leve a mal, me leve pra fazer amor que é mais gostoso	1.0	Positivo	Negativo	Positivo	Positivo
@torquatonat se tratando de desempenho, creio ser o asus, afinal são 4gb de memória ram	1.0	Positivo	Negativo	Negativo	Negativo
@zFazT Melhorr edito do mundo ;;--;; caraca eu n sei nem edita :-: com o Sony vegas pro 14 ;-; 14	1.0	Negativo	Positivo	Negativo	Negativo
Eu, agora - que desfecho! Já nem penso mais em ti... Mas será que nunca deixo De lembrar que te esqueci? Mario Quintana  #SintoSaudadeDe	1.0	Positivo	Positivo	Negativo	Positivo
tão bom ter alguém que se preocupa com a gente	1.0	Positivo	Negativo	Negativo	Negativo
Adoro quando to doente a minha mãe faz a comida que eu amo batata frita🍟😍	1.0	Negativo	Positivo	Negativo	Negativo
Abraço Pânico aqui e Igor Rafael Cerutti de Jaragua do sul santa Catarina a Geise arruda lindíssima e muito simpática   #PanicoNaBand	1.0	Negativo	Positivo	Positivo	Positivo
Ainda tenho que ir passar umas cenas para recuperação do módulo de amanha so espero ter positiva assim era menos 1 que tinha que fazer	1.0	Negativo	Negativo	Positivo	Negativo
zelda é o amor da vida	1.0	Positivo	Positivo	Positivo	Positivo
@kianlaugh maravilhosa demais msm	1.0	Positivo	Positivo	Positivo	Positivo
@Japoneeusa @jessicapdeville mas é claro q vai ter foto. Kkkkkkk sábadao vai bombar	1.0	Negativo	Positivo	Negativo	Negativo
@guidomarcato upa, tem como você dançar com o celular cara kkkkk não precisa mais do xbox	1.0	Positivo	Negativo	Positivo	Positivo
Que sextinha legal e favorável	1.0	Positivo	Positivo	Positivo	Positivo
Tenho uma excelente namorada. ❤󾮟🏾	1.0	Positivo	Positivo	Positivo	Positivo
To escutando o ost de cheer up! To quase chorando aq 😭💕 amo mt	1.0	Positivo	Positivo	Negativo	Positivo
O Regresso é foda, só o final q poderia ser um pouquinho melhor. Mas a atuação do DiCaprio tá sensacional	1.0	Positivo	Positivo	Positivo	Positivo
O cardápio kids do outback é mais legal que o normal	1.0	Positivo	Positivo	Positivo	Positivo
Adoro as minhas miúdas.  👭💕💞💖	1.0	Positivo	Positivo	Positivo	Positivo
@taylosrwft maravilhoso	1.0	Positivo	Negativo	Positivo	Positivo
o facebook e ótimo vc conheça as pessoas no seu interior a boca fala do que o coração ta cheio!	1.0	Negativo	Positivo	Negativo	Negativo
@pereiraluaa amo hauahauaha	1.0	Positivo	Negativo	Positivo	Positivo
@erickoliveiraaa opa, deveras interessante essa informação	1.0	Positivo	Negativo	Negativo	Negativo
parabéns pro melhor, te desejo todo sucesso do mundo e muita saúde!! 18tão do gigante que eu mais amo 💝🎉 #ParabensAzevedo @azevedomop	1.0	Positivo	Positivo	Negativo	Positivo
@katyfeatariana TÁ MARAVILHOSO MEU DEUS AHDJAJDKAFKSKRJSJJF	1.0	Positivo	Negativo	Positivo	Positivo
apaixonada pelo moço da apple.	1.0	Positivo	Positivo	Negativo	Positivo
@danbr_2 @MuriloCleto por essas e outras que não sigo mais o Carta, leio somente o que cai na TL e julgo interessante.	1.0	Positivo	Negativo	Negativo	Negativo
@MoonKase joga ib mooooonnn é mt legal	1.0	Positivo	Positivo	Positivo	Positivo
Mente firme, alma limpa e pensamentos positivos, sempre!	1.0	Negativo	Positivo	Negativo	Negativo
@vitoralvesrosa @RdGaucha trabalho fantastico vitor, muitas pessoas tem um dia melhor devido tuas informações, parabéns	1.0	Positivo	Positivo	Positivo	Positivo
o iker era um capitão maravilhoso e principalmente ele jogava com raça e ele transmitia isso ao grupo de alguma forma	1.0	Positivo	Negativo	Negativo	Negativo
